element,M_system,M2H_system,M_energy,M2H_energy,H2_adsorption_energy
Bi,Ov1/Fir-2,Ov1/Fir-2,-633.26058,-640.74213,-0.88155
Tc,Ov1/Fir-2,Ov1/Fir-2,-639.22684,-646.71037,-0.88353
Hg,Ov1/Sec-2,Ov1/Sec-2,-627.21008,-634.72045,-0.91037
Bi,Ov1/Fir-1,Ov1/Fir-1,-633.26058,-640.78072,-0.92014
Mn,Ov1/Sec-1,Ov1/Sec-1,-638.11324,-645.66722,-0.95398
Re,Ov1/Fir-1,Ov1/Fir-1,-642.46589,-650.02037,-0.95448
Cu,Ov1/Fir-2,Ov1/Fir-2,-630.11617,-637.67319,-0.95702
In,Ov1/Fir-1,Ov1/Fir-1,-632.04791,-639.63174,-0.98383
Mo,Ov0/None,Ov0/None,-648.62143,-656.20983,-0.9884
Ru,Ov1/Sec-1,Ov1/Sec-1,-636.40695,-644.01877,-1.01182
Cu,Ov1/Fir-1,Ov1/Fir-1,-630.11617,-637.73546,-1.01929
Os,Ov1/Fir-1,Ov1/Fir-1,-638.45254,-646.08998,-1.03744
In,Ov1/Fir-2,Ov1/Fir-2,-632.04791,-639.70334,-1.05543
Ag,Ov1/Fir-1,Ov1/Fir-1,-628.82373,-636.49288,-1.06915
Y,Ov1/Fir-1,Ov1/Fir-1,-641.43393,-649.10924,-1.07531
Y,Ov1/Fir-2,Ov1/Fir-2,-641.43393,-649.1103,-1.07637
Ag,Ov1/Fir-2,Ov1/Fir-2,-628.82373,-636.51893,-1.0952
Tc,Ov0/None,Ov0/None,-645.72175,-653.43074,-1.10899
Mn,Ov1/Fir-1,Ov1/Fir-1,-638.24498,-645.9546,-1.10962
Co,Ov1/Sec-1,Ov1/Sec-1,-634.101,-641.82192,-1.12092
Ir,Ov1/Sec-1,Ov1/Sec-1,-635.3528,-643.16221,-1.20941
Co,Ov1/Fir-1,Ov1/Fir-1,-634.43931,-642.25788,-1.21857
Ru,Ov0/None,Ov0/None,-642.71726,-650.54131,-1.22405
Pt,Ov1/Sec-1,Ov1/Sec-1,-632.48385,-640.31387,-1.23002
Hg,Ov1/Sec-1,Ov1/Sec-1,-627.21387,-635.04973,-1.23586
Ni,Ov1/Fir-1,Ov1/Fir-1,-632.43913,-640.29272,-1.25359
Sb,Ov1/Fir-1,Ov1/Fir-1,-633.5361,-641.41804,-1.28194
Tl,Ov1/Fir-1,Ov1/Fir-1,-629.40553,-637.30382,-1.29829
Pd,Ov1/Fir-1,Ov1/Fir-1,-631.51637,-639.43661,-1.32024
Pd,Ov1/Fir-2,Ov1/Fir-2,-631.51637,-639.43732,-1.32095
V,Ov1/Fir-2,Ov1/Fir-2,-640.99743,-648.93917,-1.34174
Tl,Ov1/Fir-2,Ov1/Fir-2,-629.40553,-637.36413,-1.3586
Hg,Ov1/Fir-1,Ov1/Fir-1,-626.97153,-634.94021,-1.36868
Pd,Ov1/Sec-1,Ov1/Sec-1,-631.20611,-639.25211,-1.446
Sb,Ov0/None,Ov0/None,-639.84661,-647.91606,-1.46945
Tc,Ov1/Fir-1,Ov1/Fir-1,-639.22684,-647.31927,-1.49243
Au,Ov1/Sec-1,Ov1/Sec-1,-628.99699,-637.1219,-1.52491
Ru,Ov1/Sec-2,Ov1/Sec-2,-636.40468,-644.54192,-1.53724
Rh,Ov0/None,Ov0/None,-640.15251,-648.29958,-1.54707
Co,Ov0/None,Ov0/None,-640.22929,-648.37771,-1.54842
Ir,Ov1/Sec-2,Ov1/Sec-2,-635.35494,-643.52435,-1.56941
Mn,Ov1/Sec-2,Ov1/Sec-2,-638.10516,-646.31748,-1.61232
Ge,Ov1/Sec-2,Ov1/Sec-2,-633.25682,-641.47345,-1.61663
Fe,Ov0/None,Ov0/None,-642.53759,-650.75847,-1.62088
Ru,Ov1/Fir-1,Ov1/Fir-1,-636.15115,-644.39666,-1.64551
Pd,Ov1/Sec-2,Ov1/Sec-2,-631.20275,-639.47725,-1.6745
Ir,Ov0/None,Ov0/None,-641.61564,-649.95586,-1.74022
Rh,Ov1/Sec-1,Ov1/Sec-1,-633.731,-642.07944,-1.74844
Au,Ov1/Fir-2,Ov1/Fir-2,-628.78427,-637.22071,-1.83644
Sn,Ov1/Fir-1,Ov1/Fir-1,-633.02626,-641.46926,-1.843
Sn,Ov1/Fir-2,Ov1/Fir-2,-633.02626,-641.47436,-1.8481
Os,Ov0/None,Ov0/None,-644.55441,-653.00693,-1.85252
Pt,Ov1/Sec-2,Ov1/Sec-2,-632.47042,-640.92423,-1.85381
Pt,Ov0/None,Ov0/None,-638.90687,-647.38302,-1.87615
Ir,Ov1/Fir-1,Ov1/Fir-1,-635.01505,-643.51546,-1.90041
Cr,Ov1/Sec-2,Ov1/Sec-2,-639.96814,-648.52684,-1.9587
Ir,Ov1/Fir-2,Ov1/Fir-2,-635.01505,-643.65803,-2.04298
Ge,Ov1/Sec-1,Ov1/Sec-1,-633.26804,-641.91697,-2.04893
Rh,Ov1/Sec-2,Ov1/Sec-2,-633.72802,-642.37935,-2.05133
Rh,Ov1/Fir-1,Ov1/Fir-1,-633.21957,-641.91372,-2.09415
Sn,Ov1/Sec-1,Ov1/Sec-1,-634.39026,-643.12633,-2.13607
Pt,Ov1/Fir-2,Ov1/Fir-2,-632.12402,-640.87859,-2.15457
Ge,Ov1/Fir-1,Ov1/Fir-1,-633.24049,-642.09775,-2.25726
Au,Ov1/Fir-1,Ov1/Fir-1,-628.58237,-637.47005,-2.28768
Pt,Ov1/Fir-1,Ov1/Fir-1,-632.12402,-641.01751,-2.29349
Ni,Ov1/Sec-1,Ov1/Sec-1,-633.35048,-642.65963,-2.70915
Cd,Ov1/Sec-1,Ov1/Sec-1,-629.45608,-638.76529,-2.70921
Mg,Ov1/Sec-1,Ov1/Sec-1,-633.09431,-642.47161,-2.7773
Zn,Ov1/Sec-1,Ov1/Sec-1,-629.82164,-639.27409,-2.85245
Cu,Ov1/Sec-1,Ov1/Sec-1,-630.44269,-640.01516,-2.97247
Au,Ov0/None,Ov0/None,-634.12058,-643.8109,-3.09032
Au,Ov1/Sec-2,Ov1/Sec-2,-628.95445,-638.89756,-3.34311
V,Ov0/None,Ov0/None,-647.45301,-657.83516,-3.78215
Ag,Ov0/None,Ov0/None,-633.48081,-644.88319,-4.80238
Hg,Ov0/None,Ov0/None,-631.35044,-643.05463,-5.10419
Cd,Ov0/None,Ov0/None,-633.41055,-645.42044,-5.40989
Mg,Ov0/None,Ov0/None,-636.77224,-649.23924,-5.867
Cu,Ov0/None,Ov0/None,-634.56712,-647.1472,-5.98008
Zn,Ov0/None,Ov0/None,-633.5703,-646.17369,-6.00339
Ni,Ov0/None,Ov0/None,-636.60279,-649.56802,-6.36523
